Namespace(basic_net='cnn1d_v2', batch_size=16, config='Shell_yaml/dann.yaml', data_dir='../../Dataset/CQDX/CQDXGear/gear_fault_rawdata_1024000x1_simple.mat', dataset='CQDXGearFFT', gamma=0.9, is_continue_train=False, is_descend=False, is_save_checkpoint=False, lr=0.01, lr_decay=0.75, lr_scheduler_type='stepLR', momentum=0.9, n_epoch=500, n_iter_per_epoch=20, normalize_type='0-1', num_class=5, num_workers=3, seed=1, src_wc='3', steps='50', tgt_wc='2', transfer_loss='adv', transfer_loss_weight=1.5, weight_decay=0.001)

Epoch: [ 0/500], cls_loss: 3.5919, transfer_loss: 0.6947, total_Loss: 4.6340, val_loss 2.5403, val_acc: 20.6667, The current lr 0.001000

Epoch: [ 1/500], cls_loss: 2.4178, transfer_loss: 0.6727, total_Loss: 3.4269, val_loss 2.3949, val_acc: 21.6444, The current lr 0.001000

Epoch: [ 2/500], cls_loss: 2.2885, transfer_loss: 0.6293, total_Loss: 3.2324, val_loss 1.9935, val_acc: 23.4667, The current lr 0.001000

Epoch: [ 3/500], cls_loss: 1.9657, transfer_loss: 0.5737, total_Loss: 2.8264, val_loss 2.2215, val_acc: 22.1333, The current lr 0.001000

Epoch: [ 4/500], cls_loss: 1.8618, transfer_loss: 0.5228, total_Loss: 2.6460, val_loss 1.8844, val_acc: 21.9111, The current lr 0.001000

Epoch: [ 5/500], cls_loss: 1.6943, transfer_loss: 0.4858, total_Loss: 2.4230, val_loss 2.2853, val_acc: 21.7778, The current lr 0.001000

Epoch: [ 6/500], cls_loss: 1.6687, transfer_loss: 0.4920, total_Loss: 2.4068, val_loss 1.9133, val_acc: 23.4667, The current lr 0.001000

Epoch: [ 7/500], cls_loss: 1.6379, transfer_loss: 0.5148, total_Loss: 2.4101, val_loss 1.9129, val_acc: 24.4444, The current lr 0.001000

Epoch: [ 8/500], cls_loss: 1.5791, transfer_loss: 0.5444, total_Loss: 2.3956, val_loss 1.8879, val_acc: 21.8667, The current lr 0.001000

Epoch: [ 9/500], cls_loss: 1.6433, transfer_loss: 0.5856, total_Loss: 2.5218, val_loss 1.9952, val_acc: 24.3111, The current lr 0.001000

Epoch: [10/500], cls_loss: 1.5393, transfer_loss: 0.6298, total_Loss: 2.4840, val_loss 1.7609, val_acc: 25.6000, The current lr 0.001000

Epoch: [11/500], cls_loss: 1.5061, transfer_loss: 0.5945, total_Loss: 2.3979, val_loss 1.8745, val_acc: 24.6222, The current lr 0.001000

Epoch: [12/500], cls_loss: 1.4594, transfer_loss: 0.5905, total_Loss: 2.3452, val_loss 1.7765, val_acc: 25.3333, The current lr 0.001000

Epoch: [13/500], cls_loss: 1.4801, transfer_loss: 0.6560, total_Loss: 2.4641, val_loss 1.9627, val_acc: 23.3778, The current lr 0.001000

Epoch: [14/500], cls_loss: 1.3613, transfer_loss: 0.6098, total_Loss: 2.2760, val_loss 1.8302, val_acc: 23.8222, The current lr 0.001000

Epoch: [15/500], cls_loss: 1.3697, transfer_loss: 0.6014, total_Loss: 2.2718, val_loss 2.1452, val_acc: 22.4889, The current lr 0.001000

Epoch: [16/500], cls_loss: 1.3394, transfer_loss: 0.5847, total_Loss: 2.2164, val_loss 2.4721, val_acc: 21.6000, The current lr 0.001000

Epoch: [17/500], cls_loss: 1.3296, transfer_loss: 0.5832, total_Loss: 2.2044, val_loss 2.1394, val_acc: 23.5556, The current lr 0.001000

Epoch: [18/500], cls_loss: 1.3256, transfer_loss: 0.5553, total_Loss: 2.1585, val_loss 1.9168, val_acc: 23.9111, The current lr 0.001000

Epoch: [19/500], cls_loss: 1.2839, transfer_loss: 0.5641, total_Loss: 2.1300, val_loss 1.9538, val_acc: 24.4889, The current lr 0.001000

Epoch: [20/500], cls_loss: 1.2920, transfer_loss: 0.5621, total_Loss: 2.1352, val_loss 2.0941, val_acc: 25.9556, The current lr 0.001000

Epoch: [21/500], cls_loss: 1.3236, transfer_loss: 0.5674, total_Loss: 2.1747, val_loss 2.1703, val_acc: 24.1333, The current lr 0.001000

Epoch: [22/500], cls_loss: 1.2022, transfer_loss: 0.5244, total_Loss: 1.9888, val_loss 1.9648, val_acc: 25.6444, The current lr 0.001000

Epoch: [23/500], cls_loss: 1.2483, transfer_loss: 0.5515, total_Loss: 2.0756, val_loss 1.7973, val_acc: 29.0667, The current lr 0.001000

Epoch: [24/500], cls_loss: 1.2418, transfer_loss: 0.5433, total_Loss: 2.0569, val_loss 2.1933, val_acc: 23.5556, The current lr 0.001000

Epoch: [25/500], cls_loss: 1.1789, transfer_loss: 0.5370, total_Loss: 1.9844, val_loss 1.7525, val_acc: 25.0667, The current lr 0.001000

Epoch: [26/500], cls_loss: 1.1737, transfer_loss: 0.5385, total_Loss: 1.9814, val_loss 2.2227, val_acc: 23.4222, The current lr 0.001000

