Namespace(basic_net='cnn1d_v2', batch_size=16, config='Shell_yaml/dann.yaml', data_dir='../../Dataset/CQDX/CQDXGear/gear_fault_rawdata_1024000x1_simple.mat', dataset='CQDXGearFFT', gamma=0.9, is_continue_train=False, is_descend=False, is_save_checkpoint=False, lr=0.01, lr_decay=0.75, lr_scheduler_type='stepLR', momentum=0.9, n_epoch=500, n_iter_per_epoch=20, normalize_type='0-1', num_class=5, num_workers=3, seed=1, src_wc='2', steps='50', tgt_wc='3', transfer_loss='adv', transfer_loss_weight=1.5, weight_decay=0.001)

Epoch: [ 0/500], cls_loss: 3.3924, transfer_loss: 0.6946, total_Loss: 4.4343, val_loss 2.9230, val_acc: 20.6222, The current lr 0.001000

Epoch: [ 1/500], cls_loss: 2.3819, transfer_loss: 0.6683, total_Loss: 3.3844, val_loss 2.4374, val_acc: 27.9556, The current lr 0.001000

Epoch: [ 2/500], cls_loss: 2.4104, transfer_loss: 0.6214, total_Loss: 3.3425, val_loss 2.3395, val_acc: 23.1556, The current lr 0.001000

Epoch: [ 3/500], cls_loss: 2.0659, transfer_loss: 0.5586, total_Loss: 2.9037, val_loss 2.3049, val_acc: 20.4444, The current lr 0.001000

Epoch: [ 4/500], cls_loss: 1.9684, transfer_loss: 0.4982, total_Loss: 2.7158, val_loss 2.1530, val_acc: 21.9556, The current lr 0.001000

Epoch: [ 5/500], cls_loss: 1.7667, transfer_loss: 0.4525, total_Loss: 2.4454, val_loss 2.0597, val_acc: 19.2444, The current lr 0.001000

Epoch: [ 6/500], cls_loss: 1.7213, transfer_loss: 0.5047, total_Loss: 2.4783, val_loss 2.4356, val_acc: 19.8222, The current lr 0.001000

Epoch: [ 7/500], cls_loss: 1.6320, transfer_loss: 0.6013, total_Loss: 2.5340, val_loss 2.0138, val_acc: 23.1556, The current lr 0.001000

Epoch: [ 8/500], cls_loss: 1.5453, transfer_loss: 0.6689, total_Loss: 2.5486, val_loss 2.0554, val_acc: 23.6889, The current lr 0.001000

Epoch: [ 9/500], cls_loss: 1.5009, transfer_loss: 0.6789, total_Loss: 2.5192, val_loss 2.2764, val_acc: 23.9111, The current lr 0.001000

Epoch: [10/500], cls_loss: 1.4276, transfer_loss: 0.6398, total_Loss: 2.3873, val_loss 1.9553, val_acc: 23.0667, The current lr 0.001000

Epoch: [11/500], cls_loss: 1.3979, transfer_loss: 0.6161, total_Loss: 2.3220, val_loss 1.9814, val_acc: 24.8000, The current lr 0.001000

Epoch: [12/500], cls_loss: 1.3952, transfer_loss: 0.6133, total_Loss: 2.3151, val_loss 2.2048, val_acc: 22.0444, The current lr 0.001000

Epoch: [13/500], cls_loss: 1.3577, transfer_loss: 0.6259, total_Loss: 2.2964, val_loss 2.0869, val_acc: 23.4222, The current lr 0.001000

Epoch: [14/500], cls_loss: 1.3108, transfer_loss: 0.5977, total_Loss: 2.2073, val_loss 2.6350, val_acc: 22.8444, The current lr 0.001000

Epoch: [15/500], cls_loss: 1.2839, transfer_loss: 0.5892, total_Loss: 2.1677, val_loss 2.3557, val_acc: 23.2889, The current lr 0.001000

Epoch: [16/500], cls_loss: 1.2761, transfer_loss: 0.5724, total_Loss: 2.1347, val_loss 2.5118, val_acc: 23.3333, The current lr 0.001000

Epoch: [17/500], cls_loss: 1.2471, transfer_loss: 0.5803, total_Loss: 2.1176, val_loss 1.9694, val_acc: 24.1778, The current lr 0.001000

Epoch: [18/500], cls_loss: 1.2666, transfer_loss: 0.5629, total_Loss: 2.1109, val_loss 2.0260, val_acc: 23.8667, The current lr 0.001000

Epoch: [19/500], cls_loss: 1.2499, transfer_loss: 0.5866, total_Loss: 2.1298, val_loss 2.3805, val_acc: 22.9778, The current lr 0.001000

Epoch: [20/500], cls_loss: 1.2664, transfer_loss: 0.5649, total_Loss: 2.1137, val_loss 1.9820, val_acc: 26.0444, The current lr 0.001000

Epoch: [21/500], cls_loss: 1.2491, transfer_loss: 0.5332, total_Loss: 2.0489, val_loss 1.9746, val_acc: 25.4667, The current lr 0.001000

Epoch: [22/500], cls_loss: 1.1907, transfer_loss: 0.5691, total_Loss: 2.0443, val_loss 1.9256, val_acc: 26.9778, The current lr 0.001000

Epoch: [23/500], cls_loss: 1.1846, transfer_loss: 0.5501, total_Loss: 2.0097, val_loss 2.2046, val_acc: 24.8444, The current lr 0.001000

Epoch: [24/500], cls_loss: 1.2043, transfer_loss: 0.5259, total_Loss: 1.9932, val_loss 2.1228, val_acc: 25.0222, The current lr 0.001000

Epoch: [25/500], cls_loss: 1.1360, transfer_loss: 0.5268, total_Loss: 1.9261, val_loss 2.1723, val_acc: 26.1333, The current lr 0.001000

Epoch: [26/500], cls_loss: 1.2023, transfer_loss: 0.5844, total_Loss: 2.0789, val_loss 2.6482, val_acc: 22.0889, The current lr 0.001000

Epoch: [27/500], cls_loss: 1.1715, transfer_loss: 0.5754, total_Loss: 2.0346, val_loss 2.3115, val_acc: 24.3556, The current lr 0.001000

Epoch: [28/500], cls_loss: 1.1547, transfer_loss: 0.5976, total_Loss: 2.0510, val_loss 2.2182, val_acc: 23.6000, The current lr 0.001000

Epoch: [29/500], cls_loss: 1.1514, transfer_loss: 0.5314, total_Loss: 1.9486, val_loss 2.1345, val_acc: 25.0667, The current lr 0.001000

Epoch: [30/500], cls_loss: 1.1489, transfer_loss: 0.5715, total_Loss: 2.0062, val_loss 2.2051, val_acc: 24.6222, The current lr 0.001000

Epoch: [31/500], cls_loss: 1.0813, transfer_loss: 0.5421, total_Loss: 1.8945, val_loss 2.1078, val_acc: 25.4667, The current lr 0.001000

Epoch: [32/500], cls_loss: 1.0655, transfer_loss: 0.5170, total_Loss: 1.8410, val_loss 2.1962, val_acc: 26.9778, The current lr 0.001000

Epoch: [33/500], cls_loss: 1.0952, transfer_loss: 0.5355, total_Loss: 1.8985, val_loss 2.1410, val_acc: 27.0222, The current lr 0.001000

Epoch: [34/500], cls_loss: 1.0955, transfer_loss: 0.5304, total_Loss: 1.8911, val_loss 2.4690, val_acc: 24.5778, The current lr 0.001000

Epoch: [35/500], cls_loss: 1.1184, transfer_loss: 0.5458, total_Loss: 1.9371, val_loss 2.2139, val_acc: 23.8667, The current lr 0.001000

Epoch: [36/500], cls_loss: 1.0771, transfer_loss: 0.5390, total_Loss: 1.8856, val_loss 2.0835, val_acc: 25.9556, The current lr 0.001000

Epoch: [37/500], cls_loss: 1.1059, transfer_loss: 0.5551, total_Loss: 1.9385, val_loss 2.2561, val_acc: 25.1111, The current lr 0.001000

Epoch: [38/500], cls_loss: 1.0425, transfer_loss: 0.5530, total_Loss: 1.8721, val_loss 2.5588, val_acc: 22.4889, The current lr 0.001000

Epoch: [39/500], cls_loss: 1.0709, transfer_loss: 0.5542, total_Loss: 1.9023, val_loss 2.1605, val_acc: 24.1333, The current lr 0.001000

Epoch: [40/500], cls_loss: 1.0519, transfer_loss: 0.5313, total_Loss: 1.8489, val_loss 2.0808, val_acc: 25.8667, The current lr 0.001000

Epoch: [41/500], cls_loss: 1.0541, transfer_loss: 0.5262, total_Loss: 1.8434, val_loss 2.3517, val_acc: 24.2222, The current lr 0.001000

Epoch: [42/500], cls_loss: 1.0200, transfer_loss: 0.5469, total_Loss: 1.8404, val_loss 2.3870, val_acc: 22.8444, The current lr 0.001000

Epoch: [43/500], cls_loss: 1.0414, transfer_loss: 0.5666, total_Loss: 1.8914, val_loss 2.7448, val_acc: 23.6000, The current lr 0.001000

Epoch: [44/500], cls_loss: 0.9848, transfer_loss: 0.5133, total_Loss: 1.7547, val_loss 2.3376, val_acc: 22.7111, The current lr 0.001000

Epoch: [45/500], cls_loss: 0.9650, transfer_loss: 0.5058, total_Loss: 1.7236, val_loss 2.5679, val_acc: 24.4889, The current lr 0.001000

Epoch: [46/500], cls_loss: 0.9775, transfer_loss: 0.5147, total_Loss: 1.7496, val_loss 2.3083, val_acc: 25.9556, The current lr 0.001000

Epoch: [47/500], cls_loss: 0.9815, transfer_loss: 0.5730, total_Loss: 1.8409, val_loss 2.0621, val_acc: 25.2889, The current lr 0.001000

Epoch: [48/500], cls_loss: 0.9863, transfer_loss: 0.5542, total_Loss: 1.8175, val_loss 2.3246, val_acc: 24.6222, The current lr 0.001000

Epoch: [49/500], cls_loss: 0.9421, transfer_loss: 0.5968, total_Loss: 1.8372, val_loss 2.7833, val_acc: 23.0667, The current lr 0.001000

Epoch: [50/500], cls_loss: 0.9342, transfer_loss: 0.5562, total_Loss: 1.7685, val_loss 2.1734, val_acc: 25.9556, The current lr 0.000900

Epoch: [51/500], cls_loss: 0.8754, transfer_loss: 0.5251, total_Loss: 1.6631, val_loss 2.2790, val_acc: 25.6000, The current lr 0.000900

Epoch: [52/500], cls_loss: 0.8828, transfer_loss: 0.5049, total_Loss: 1.6401, val_loss 2.3505, val_acc: 23.2000, The current lr 0.000900

Epoch: [53/500], cls_loss: 0.9040, transfer_loss: 0.5319, total_Loss: 1.7018, val_loss 2.3894, val_acc: 24.9778, The current lr 0.000900

Epoch: [54/500], cls_loss: 0.9058, transfer_loss: 0.5602, total_Loss: 1.7461, val_loss 2.4003, val_acc: 23.5111, The current lr 0.000900

Epoch: [55/500], cls_loss: 0.9119, transfer_loss: 0.5383, total_Loss: 1.7193, val_loss 2.2378, val_acc: 26.2222, The current lr 0.000900

Epoch: [56/500], cls_loss: 0.9069, transfer_loss: 0.5121, total_Loss: 1.6751, val_loss 2.2610, val_acc: 26.1778, The current lr 0.000900

Epoch: [57/500], cls_loss: 0.8783, transfer_loss: 0.5141, total_Loss: 1.6495, val_loss 2.3127, val_acc: 23.3778, The current lr 0.000900

Epoch: [58/500], cls_loss: 0.8889, transfer_loss: 0.5270, total_Loss: 1.6793, val_loss 3.4559, val_acc: 20.9778, The current lr 0.000900

Epoch: [59/500], cls_loss: 0.8874, transfer_loss: 0.5106, total_Loss: 1.6532, val_loss 2.2864, val_acc: 26.0000, The current lr 0.000900

Epoch: [60/500], cls_loss: 0.8627, transfer_loss: 0.5246, total_Loss: 1.6497, val_loss 2.7441, val_acc: 24.0000, The current lr 0.000900

Epoch: [61/500], cls_loss: 0.8494, transfer_loss: 0.5127, total_Loss: 1.6184, val_loss 2.5387, val_acc: 24.2667, The current lr 0.000900

Epoch: [62/500], cls_loss: 0.8238, transfer_loss: 0.5244, total_Loss: 1.6104, val_loss 2.4867, val_acc: 25.2889, The current lr 0.000900

Epoch: [63/500], cls_loss: 0.8349, transfer_loss: 0.5042, total_Loss: 1.5912, val_loss 2.4565, val_acc: 23.4222, The current lr 0.000900

