Namespace(basic_net='cnn1d_v2', batch_size=16, config='Shell_yaml/dann.yaml', data_dir='../../Dataset/CQDX/CQDXBear/ZouBearingFaultRawConstantLoad.mat', dataset='CQDXBear1D', gamma=0.9, is_continue_train=False, is_descend=False, is_save_checkpoint=False, lr=0.01, lr_decay=0.75, lr_scheduler_type='stepLR', momentum=0.9, n_epoch=500, n_iter_per_epoch=20, normalize_type='0-1', num_class=5, num_workers=3, seed=1, src_wc='1', steps='50', tgt_wc='2', transfer_loss='adv', transfer_loss_weight=1.5, weight_decay=0.001)

Epoch: [ 0/500], cls_loss: 0.3823, transfer_loss: 0.6776, total_Loss: 1.3988, val_loss 0.3578, val_acc: 88.3333, The current lr 0.001000

Epoch: [ 1/500], cls_loss: 0.0497, transfer_loss: 0.5260, total_Loss: 0.8388, val_loss 0.2716, val_acc: 92.0370, The current lr 0.001000

Epoch: [ 2/500], cls_loss: 0.0907, transfer_loss: 0.3148, total_Loss: 0.5629, val_loss 0.0852, val_acc: 97.0833, The current lr 0.001000

Epoch: [ 3/500], cls_loss: 0.0209, transfer_loss: 0.3656, total_Loss: 0.5693, val_loss 0.0650, val_acc: 97.7778, The current lr 0.001000

Epoch: [ 4/500], cls_loss: 0.0483, transfer_loss: 0.5396, total_Loss: 0.8576, val_loss 0.0400, val_acc: 98.7963, The current lr 0.001000

Epoch: [ 5/500], cls_loss: 0.0265, transfer_loss: 0.5894, total_Loss: 0.9106, val_loss 0.1900, val_acc: 96.1111, The current lr 0.001000

Epoch: [ 6/500], cls_loss: 0.0302, transfer_loss: 0.6065, total_Loss: 0.9399, val_loss 0.0945, val_acc: 97.5000, The current lr 0.001000

Epoch: [ 7/500], cls_loss: 0.0286, transfer_loss: 0.5872, total_Loss: 0.9094, val_loss 0.0100, val_acc: 99.5370, The current lr 0.001000

Epoch: [ 8/500], cls_loss: 0.0269, transfer_loss: 0.6202, total_Loss: 0.9572, val_loss 0.0133, val_acc: 99.6759, The current lr 0.001000

Epoch: [ 9/500], cls_loss: 0.0133, transfer_loss: 0.6019, total_Loss: 0.9161, val_loss 0.0155, val_acc: 99.5370, The current lr 0.001000

Epoch: [10/500], cls_loss: 0.0156, transfer_loss: 0.6535, total_Loss: 0.9958, val_loss 0.0129, val_acc: 99.6759, The current lr 0.001000

Epoch: [11/500], cls_loss: 0.0097, transfer_loss: 0.6503, total_Loss: 0.9852, val_loss 0.0117, val_acc: 99.6296, The current lr 0.001000

Epoch: [12/500], cls_loss: 0.0181, transfer_loss: 0.6331, total_Loss: 0.9678, val_loss 0.0094, val_acc: 99.7685, The current lr 0.001000

Epoch: [13/500], cls_loss: 0.0131, transfer_loss: 0.6478, total_Loss: 0.9847, val_loss 0.0409, val_acc: 99.0278, The current lr 0.001000

Epoch: [14/500], cls_loss: 0.0098, transfer_loss: 0.6556, total_Loss: 0.9931, val_loss 0.0267, val_acc: 99.3056, The current lr 0.001000

Epoch: [15/500], cls_loss: 0.0206, transfer_loss: 0.6409, total_Loss: 0.9819, val_loss 0.0537, val_acc: 98.5185, The current lr 0.001000

Epoch: [16/500], cls_loss: 0.0089, transfer_loss: 0.6489, total_Loss: 0.9823, val_loss 0.0092, val_acc: 99.8611, The current lr 0.001000

Epoch: [17/500], cls_loss: 0.0193, transfer_loss: 0.6406, total_Loss: 0.9802, val_loss 0.0225, val_acc: 99.3981, The current lr 0.001000

