Namespace(basic_net='resnet1d', batch_size=16, config='Shell_yaml/dann.yaml', data_dir='../../Dataset/CQDX/CQDXBear/ZouBearingFaultRawConstantLoad.mat', dataset='CQDXBear1DaFFT', gamma=0.9, is_continue_train=False, is_descend='False', is_save_checkpoint=False, lr=0.01, lr_decay=0.75, lr_scheduler_type='stepLR', momentum=0.9, n_epoch=500, n_iter_per_epoch=20, normalize_type='0-1', num_class=5, num_workers=3, seed=1, src_wc='0', steps='50', tgt_wc='1', transfer_loss='plmmd_adv', transfer_loss_weight=1.5, weight_decay=0.001)

Epoch: [ 0/500], cls_loss: 1.1305, transfer_loss: 0.7584, total_Loss: 1.1305, val_loss 1.6965, val_acc: 64.1667, The current lr 0.001000

Epoch: [ 1/500], cls_loss: 0.6939, transfer_loss: 0.8502, total_Loss: 0.7024, val_loss 1.9208, val_acc: 78.8889, The current lr 0.001000

Epoch: [ 2/500], cls_loss: 0.6200, transfer_loss: 0.9403, total_Loss: 0.6388, val_loss 0.7621, val_acc: 82.9167, The current lr 0.001000

Epoch: [ 3/500], cls_loss: 0.2453, transfer_loss: 1.0335, total_Loss: 0.2763, val_loss 0.0933, val_acc: 96.3889, The current lr 0.001000

Epoch: [ 4/500], cls_loss: 0.1830, transfer_loss: 1.1279, total_Loss: 0.2281, val_loss 4.0236, val_acc: 70.6944, The current lr 0.001000

Epoch: [ 5/500], cls_loss: 0.2438, transfer_loss: 1.2112, total_Loss: 0.3043, val_loss 0.5004, val_acc: 88.6111, The current lr 0.001000

Epoch: [ 6/500], cls_loss: 0.1225, transfer_loss: 1.2930, total_Loss: 0.2000, val_loss 0.1175, val_acc: 96.9444, The current lr 0.001000

Epoch: [ 7/500], cls_loss: 0.2055, transfer_loss: 1.3573, total_Loss: 0.3004, val_loss 0.1336, val_acc: 95.6944, The current lr 0.001000

Epoch: [ 8/500], cls_loss: 0.1757, transfer_loss: 1.4308, total_Loss: 0.2899, val_loss 0.1367, val_acc: 95.8333, The current lr 0.001000

Epoch: [ 9/500], cls_loss: 0.1466, transfer_loss: 1.4807, total_Loss: 0.2795, val_loss 0.1647, val_acc: 95.9722, The current lr 0.001000

Epoch: [10/500], cls_loss: 0.0919, transfer_loss: 1.5098, total_Loss: 0.2424, val_loss 0.0754, val_acc: 97.6389, The current lr 0.001000

Epoch: [11/500], cls_loss: 0.0594, transfer_loss: 1.5218, total_Loss: 0.2261, val_loss 0.0982, val_acc: 98.0556, The current lr 0.001000

Epoch: [12/500], cls_loss: 0.0525, transfer_loss: 1.5032, total_Loss: 0.2320, val_loss 0.1144, val_acc: 97.0833, The current lr 0.001000

Epoch: [13/500], cls_loss: 0.0475, transfer_loss: 1.5265, total_Loss: 0.2448, val_loss 0.0755, val_acc: 99.0278, The current lr 0.001000

Epoch: [14/500], cls_loss: 0.0525, transfer_loss: 1.4853, total_Loss: 0.2591, val_loss 0.0667, val_acc: 98.3333, The current lr 0.001000

Epoch: [15/500], cls_loss: 0.0545, transfer_loss: 1.5471, total_Loss: 0.2849, val_loss 0.0439, val_acc: 99.5833, The current lr 0.001000

Epoch: [16/500], cls_loss: 0.0218, transfer_loss: 1.5037, total_Loss: 0.2603, val_loss 0.0765, val_acc: 98.0556, The current lr 0.001000

Epoch: [17/500], cls_loss: 0.0347, transfer_loss: 1.5294, total_Loss: 0.2922, val_loss 0.0557, val_acc: 99.4444, The current lr 0.001000

Epoch: [18/500], cls_loss: 0.0630, transfer_loss: 1.5490, total_Loss: 0.3389, val_loss 0.2316, val_acc: 92.3611, The current lr 0.001000

Epoch: [19/500], cls_loss: 0.0700, transfer_loss: 1.6118, total_Loss: 0.3726, val_loss 0.0895, val_acc: 97.3611, The current lr 0.001000

Epoch: [20/500], cls_loss: 0.0765, transfer_loss: 1.6513, total_Loss: 0.4024, val_loss 0.0666, val_acc: 98.7500, The current lr 0.001000

Epoch: [21/500], cls_loss: 0.0176, transfer_loss: 1.6630, total_Loss: 0.3618, val_loss 0.0414, val_acc: 99.3056, The current lr 0.001000

Epoch: [22/500], cls_loss: 0.0202, transfer_loss: 1.7463, total_Loss: 0.3983, val_loss 0.0536, val_acc: 98.8889, The current lr 0.001000

Epoch: [23/500], cls_loss: 0.0352, transfer_loss: 1.7837, total_Loss: 0.4384, val_loss 0.0555, val_acc: 99.5833, The current lr 0.001000

Epoch: [24/500], cls_loss: 0.0529, transfer_loss: 1.8200, total_Loss: 0.4815, val_loss 0.0562, val_acc: 97.9167, The current lr 0.001000

Epoch: [25/500], cls_loss: 0.0235, transfer_loss: 1.8579, total_Loss: 0.4785, val_loss 0.0349, val_acc: 99.1667, The current lr 0.001000

Epoch: [26/500], cls_loss: 0.0133, transfer_loss: 1.8924, total_Loss: 0.4946, val_loss 0.0386, val_acc: 99.3056, The current lr 0.001000

Epoch: [27/500], cls_loss: 0.0398, transfer_loss: 1.9018, total_Loss: 0.5412, val_loss 0.0526, val_acc: 99.1667, The current lr 0.001000

Epoch: [28/500], cls_loss: 0.0445, transfer_loss: 1.9215, total_Loss: 0.5689, val_loss 0.0371, val_acc: 99.5833, The current lr 0.001000

Epoch: [29/500], cls_loss: 0.0230, transfer_loss: 1.9405, total_Loss: 0.5705, val_loss 0.0326, val_acc: 99.3056, The current lr 0.001000

Epoch: [30/500], cls_loss: 0.0201, transfer_loss: 1.9912, total_Loss: 0.6001, val_loss 0.0268, val_acc: 99.3056, The current lr 0.001000

Epoch: [31/500], cls_loss: 0.0376, transfer_loss: 1.9986, total_Loss: 0.6381, val_loss 0.0270, val_acc: 99.0278, The current lr 0.001000

Epoch: [32/500], cls_loss: 0.0518, transfer_loss: 2.0078, total_Loss: 0.6732, val_loss 0.0613, val_acc: 98.4722, The current lr 0.001000

Epoch: [33/500], cls_loss: 0.0482, transfer_loss: 2.0301, total_Loss: 0.6948, val_loss 0.1422, val_acc: 96.2500, The current lr 0.001000

Epoch: [34/500], cls_loss: 0.0313, transfer_loss: 2.0632, total_Loss: 0.7070, val_loss 0.0442, val_acc: 99.1667, The current lr 0.001000

